10.152.250.53,55080,PUT:disCon,remove connection,200
ip,clientIden,request,data,status
ip,clientIden,request,data,status
ip,clientIden,request,data,status
ip,clientIden,request,data,status
153.90.88.21,55323,GET:init,new connection,200
10.152.250.53,55327,GET:init,new connection,200
153.90.88.21,55323,PUT:play,successfully played: rock; waiting for client 55327 to play,200
10.152.250.53,55327,PUT:play,successfully played: rock; match tied,200
10.152.250.53,55327,PUT:play,successfully played: paper; waiting for client 55323 to play,200
153.90.88.21,55323,PUT:play,successfully played: rock; match results availible,200
153.90.88.21,55323,GET:results,You lost match 1,200
10.152.250.53,55327,GET:results,You won match 1!,200
10.152.250.53,55327,GET:score,You are currently winning: [1:0],200
153.90.88.21,55323,GET:score,You are currently behind: [0:1],200
153.90.88.21,55323,PUT:reset,reset request successful: waiting on client 55327,200
clients,clients,gameReset,clients 55323 55327both requested a game reset,200
10.152.250.53,55327,PUT:reset,reset request successful: game reset,200
10.152.250.53,55327,GET:results,Results for match 0 have not been determined yet,200
10.152.250.53,55327,GET:score,You are currently tied: [0:0],200
10.152.250.53,55327,PUT:disCon,remove connection,200
10.152.250.53,55360,GET:init,new connection,200
10.152.250.53,55360,GET:results,Results for match 0 have not been determined yet,200
10.152.250.53,55360,PUT:disCon,remove connection,200
10.152.250.53,55367,GET:init,new connection,200
